,Game #,Wk,Date,Winner,Loser,Pts_W,Pts_L,Rating_W,Rating_L,Post_Rating_W,Post_Rating_L
0,1,1,24-Aug-19,Florida,Miami (FL),24,20,0,0,16,-16
1,2,1,24-Aug-19,Hawaii,Arizona,45,38,0,0,16,-16
2,3,2,29-Aug-19,Alabama-Birmingham,Alabama State,24,19,0,0,16,-16
3,4,2,29-Aug-19,Arizona State,Kent State,30,7,0,0,16,-16
4,5,2,29-Aug-19,Bowling Green State,Morgan State,46,3,0,0,16,-16
5,6,2,29-Aug-19,Buffalo,Robert Morris,38,10,0,0,16,-16
6,7,2,29-Aug-19,Central Arkansas,Western Kentucky,35,28,0,0,16,-16
7,8,2,29-Aug-19,Central Florida,Florida A&M,62,0,0,0,16,-16
8,9,2,29-Aug-19,Central Michigan,Albany,38,21,0,0,16,-16
9,10,2,29-Aug-19,Charlotte,Gardner-Webb,49,28,0,0,16,-16
10,11,2,29-Aug-19,Cincinnati,UCLA,24,14,0,0,16,-16
11,12,2,29-Aug-19,Clemson,Georgia Tech,52,14,0,0,16,-16
12,13,2,29-Aug-19,Connecticut,Wagner,24,21,0,0,16,-16
13,14,2,29-Aug-19,Minnesota,South Dakota State,28,21,0,0,16,-16
14,15,2,29-Aug-19,San Jose State,Northern Colorado,35,18,0,0,16,-16
15,16,2,29-Aug-19,Texas A&M,Texas State,41,7,0,0,16,-16
16,17,2,29-Aug-19,Tulane,Florida International,42,14,0,0,16,-16
17,18,2,29-Aug-19,Utah,Brigham Young,30,12,0,0,16,-16
18,19,2,30-Aug-19,Army,Rice,14,7,0,0,16,-16
19,20,2,30-Aug-19,Colorado,Colorado State,52,31,0,0,16,-16
20,21,2,30-Aug-19,Michigan State,Tulsa,28,7,0,0,16,-16
21,22,2,30-Aug-19,Nevada,Purdue,34,31,0,0,16,-16
22,23,2,30-Aug-19,Oklahoma State,Oregon State,52,36,0,0,16,-16
23,24,2,30-Aug-19,Rutgers,Massachusetts,48,21,0,0,16,-16
24,25,2,30-Aug-19,Wake Forest,Utah State,38,35,0,0,16,-16
25,26,2,30-Aug-19,Wisconsin,South Florida,49,0,0,0,16,-16
26,27,2,31-Aug-19,Air Force,Colgate,48,7,0,0,16,-16
27,28,2,31-Aug-19,Alabama,Duke,42,3,0,0,16,-16
28,29,2,31-Aug-19,Appalachian State,East Tennessee State,42,7,0,0,16,-16
29,30,2,31-Aug-19,Arkansas,Portland State,20,13,0,0,16,-16
30,31,2,31-Aug-19,Auburn,Oregon,27,21,0,0,16,-16
31,32,2,31-Aug-19,Baylor,Stephen F. Austin,56,17,0,0,16,-16
32,33,2,31-Aug-19,Boise State,Florida State,36,31,0,0,16,-16
33,34,2,31-Aug-19,Boston College,Virginia Tech,35,28,0,0,16,-16
34,35,2,31-Aug-19,California,California-Davis,27,13,0,0,16,-16
35,36,2,31-Aug-19,Eastern Michigan,Coastal Carolina,30,23,0,0,16,-16
36,37,2,31-Aug-19,Georgia,Vanderbilt,30,6,0,0,16,-16
37,38,2,31-Aug-19,Georgia State,Tennessee,38,30,0,0,16,-16
38,39,2,31-Aug-19,Illinois,Akron,42,3,0,0,16,-16
39,40,2,31-Aug-19,Indiana,Ball State,34,24,0,0,16,-16
40,41,2,31-Aug-19,Iowa,Miami (OH),38,14,0,0,16,-16
41,42,2,31-Aug-19,Iowa State,Northern Iowa,29,26,0,0,16,-16
42,43,2,31-Aug-19,Kansas,Indiana State,24,17,0,0,16,-16
43,44,2,31-Aug-19,Kansas State,Nicholls State,49,14,0,0,16,-16
44,45,2,31-Aug-19,Kentucky,Toledo,38,24,0,0,16,-16
45,46,2,31-Aug-19,Louisiana State,Georgia Southern,55,3,0,0,16,-16
46,47,2,31-Aug-19,Louisiana-Monroe,Grambling State,31,9,0,0,16,-16
47,48,2,31-Aug-19,Marshall,Virginia Military Institute,56,17,0,0,16,-16
48,49,2,31-Aug-19,Maryland,Howard,79,0,0,0,16,-16
49,50,2,31-Aug-19,Memphis,Mississippi,15,10,0,0,16,-16
50,51,2,31-Aug-19,Michigan,Middle Tennessee State,40,21,0,0,16,-16
51,52,2,31-Aug-19,Mississippi State,Louisiana,38,28,0,0,16,-16
52,53,2,31-Aug-19,Navy,Holy Cross,45,7,0,0,16,-16
53,54,2,31-Aug-19,Nebraska,South Alabama,35,21,0,0,16,-16
54,55,2,31-Aug-19,Nevada-Las Vegas,Southern Utah,56,23,0,0,16,-16
55,56,2,31-Aug-19,New Mexico,Sam Houston State,39,31,0,0,16,-16
56,57,2,31-Aug-19,North Carolina,South Carolina,24,20,0,0,16,-16
57,58,2,31-Aug-19,North Carolina State,East Carolina,34,6,0,0,16,-16
58,59,2,31-Aug-19,North Texas,Abilene Christian,51,31,0,0,16,-16
59,60,2,31-Aug-19,Northern Illinois,Illinois State,24,10,0,0,16,-16
60,61,2,31-Aug-19,Ohio,Rhode Island,41,20,0,0,16,-16
61,62,2,31-Aug-19,Ohio State,Florida Atlantic,45,21,0,0,16,-16
62,63,2,31-Aug-19,Old Dominion,Norfolk State,24,21,0,0,16,-16
63,64,2,31-Aug-19,Penn State,Idaho,79,7,0,0,16,-16
64,65,2,31-Aug-19,San Diego State,Weber State,6,0,0,0,16,-16
65,66,2,31-Aug-19,Southern California,Fresno State,31,23,0,0,16,-16
66,67,2,31-Aug-19,Southern Methodist,Arkansas State,37,30,0,0,16,-16
67,68,2,31-Aug-19,Southern Mississippi,Alcorn State,38,10,0,0,16,-16
68,69,2,31-Aug-19,Stanford,Northwestern,17,7,0,0,16,-16
69,70,2,31-Aug-19,Syracuse,Liberty,24,0,0,0,16,-16
70,71,2,31-Aug-19,Temple,Bucknell,56,12,0,0,16,-16
71,72,2,31-Aug-19,Texas,Louisiana Tech,45,14,0,0,16,-16
72,73,2,31-Aug-19,Texas Christian,Arkansas-Pine Bluff,39,7,0,0,16,-16
73,74,2,31-Aug-19,Texas Tech,Montana State,45,10,0,0,16,-16
74,75,2,31-Aug-19,Texas-El Paso,Houston Baptist,36,34,0,0,16,-16
75,76,2,31-Aug-19,Texas-San Antonio,Incarnate Word,35,7,0,0,16,-16
76,77,2,31-Aug-19,Troy,Campbell,43,14,0,0,16,-16
77,78,2,31-Aug-19,Virginia,Pittsburgh,30,14,0,0,16,-16
78,79,2,31-Aug-19,Washington,Eastern Washington,47,14,0,0,16,-16
79,80,2,31-Aug-19,Washington State,New Mexico State,58,7,0,0,16,-16
80,81,2,31-Aug-19,West Virginia,James Madison,20,13,0,0,16,-16
81,82,2,31-Aug-19,Western Michigan,Monmouth,48,13,0,0,16,-16
82,83,2,31-Aug-19,Wyoming,Missouri,37,31,0,0,16,-16
83,84,2,1-Sep-19,Oklahoma,Houston,49,31,0,0,16,-16
84,85,2,2-Sep-19,Notre Dame,Louisville,35,17,0,0,16,-16
85,86,3,6-Sep-19,Arizona State,Sacramento State,19,7,16,0,31.70530244,-15.70530244
86,87,3,6-Sep-19,Boise State,Marshall,14,7,16,16,32,0
87,88,3,6-Sep-19,Virginia,William & Mary,52,17,16,0,31.70530244,-15.70530244
88,89,3,6-Sep-19,Wake Forest,Rice,41,21,16,-16,31.41080476,-31.41080476
89,90,3,7-Sep-19,Alabama,New Mexico State,62,10,16,-16,31.41080476,-31.41080476
90,91,3,7-Sep-19,Alabama-Birmingham,Akron,31,20,16,-16,31.41080476,-31.41080476
91,92,3,7-Sep-19,Appalachian State,Charlotte,56,41,16,16,32,0
92,93,3,7-Sep-19,Arizona,Northern Arizona,65,41,-16,0,0.29469756,-16.29469756
93,94,3,7-Sep-19,Arkansas State,Nevada-Las Vegas,43,17,-16,16,0.589195239,-0.589195239
94,95,3,7-Sep-19,Auburn,Tulane,24,6,16,16,32,0
95,96,3,7-Sep-19,Ball State,Fordham,57,29,-16,0,0.29469756,-16.29469756
96,97,3,7-Sep-19,Baylor,Texas-San Antonio,63,14,16,16,32,0
97,98,3,7-Sep-19,Boston College,Richmond,45,13,16,0,31.70530244,-15.70530244
98,99,3,7-Sep-19,Brigham Young,Tennessee,29,26,-16,-16,0,-32
99,100,3,7-Sep-19,California,Washington,20,19,16,16,32,0
100,101,3,7-Sep-19,Central Florida,Florida Atlantic,48,14,16,-16,31.41080476,-31.41080476
101,102,3,7-Sep-19,Clemson,Texas A&M,24,10,16,16,32,0
102,103,3,7-Sep-19,Coastal Carolina,Kansas,12,7,-16,16,0.589195239,-0.589195239
103,104,3,7-Sep-19,Colorado,Nebraska,34,31,16,16,32,0
104,105,3,7-Sep-19,Colorado State,Western Illinois,38,13,-16,0,0.29469756,-16.29469756
105,106,3,7-Sep-19,Duke,North Carolina A&T,45,13,-16,0,0.29469756,-16.29469756
106,107,3,7-Sep-19,East Carolina,Gardner-Webb,48,9,-16,-16,0,-32
107,108,3,7-Sep-19,Florida,Tennessee-Martin,45,0,16,0,31.70530244,-15.70530244
108,109,3,7-Sep-19,Florida State,Louisiana-Monroe,45,44,-16,16,0.589195239,-0.589195239
