Game #,Wk,Date,Winner,Loser,Pts_W,Pts_L,Pre_Rating_W,Pre_Rating_L,Post_Rating_W,Post_Rating_L
1,1,3-Sep-20,Alabama-Birmingham,Central Arkansas,45,35,0,0,16,-16
2,1,3-Sep-20,South Alabama,Southern Mississippi,32,21,0,0,16,-16
3,1,5-Sep-20,Army,Middle Tennessee State,42,0,0,0,16,-16
4,1,5-Sep-20,Marshall,Eastern Kentucky,59,0,0,0,16,-16
5,1,5-Sep-20,Memphis,Arkansas State,37,24,0,0,16,-16
6,1,5-Sep-20,North Texas,Houston Baptist,57,31,0,0,16,-16
7,1,5-Sep-20,Southern Methodist,Texas State,31,24,0,0,16,-16
8,1,5-Sep-20,Texas-El Paso,Stephen F. Austin,24,14,0,0,16,-16
9,1,7-Sep-20,Brigham Young,Navy,55,3,0,0,16,-16
10,2,10-Sep-20,Miami (FL),Alabama-Birmingham,31,14,0,16,16.29469756,-0.29469756
11,2,12-Sep-20,Appalachian State,Charlotte,35,20,0,0,16,-16
12,2,12-Sep-20,Arkansas State,Kansas State,35,31,-16,0,0.29469756,-16.29469756
13,2,12-Sep-20,Army,Louisiana-Monroe,37,7,16,0,31.70530244,-15.70530244
14,2,12-Sep-20,Clemson,Wake Forest,37,13,0,0,16,-16
15,2,12-Sep-20,Coastal Carolina,Kansas,38,23,0,0,16,-16
16,2,12-Sep-20,Georgia Southern,Campbell,27,26,0,0,16,-16
17,2,12-Sep-20,Georgia Tech,Florida State,16,13,0,0,16,-16
18,2,12-Sep-20,Louisiana,Iowa State,31,14,0,0,16,-16
19,2,12-Sep-20,Louisville,Western Kentucky,35,21,0,0,16,-16
20,2,12-Sep-20,North Carolina,Syracuse,31,6,0,0,16,-16
21,2,12-Sep-20,Notre Dame,Duke,27,13,0,0,16,-16
22,2,12-Sep-20,Oklahoma,Missouri State,48,0,0,0,16,-16
23,2,12-Sep-20,Pittsburgh,Austin Peay,55,0,0,0,16,-16
24,2,12-Sep-20,South Florida,Citadel,27,6,0,0,16,-16
25,2,12-Sep-20,Texas,Texas-El Paso,59,3,0,16,16.29469756,-0.29469756
26,2,12-Sep-20,Texas Tech,Houston Baptist,35,33,0,-16,15.70530244,-31.70530244
27,2,12-Sep-20,Texas-San Antonio,Texas State,51,48,0,-16,15.70530244,-31.70530244
28,2,12-Sep-20,Tulane,South Alabama,27,24,0,16,16.29469756,-0.29469756
29,2,12-Sep-20,West Virginia,Eastern Kentucky,56,10,0,-16,15.70530244,-31.70530244
30,3,18-Sep-20,Coastal Carolina,Campbell,43,21,16,-16,31.41080476,-31.41080476
31,3,19-Sep-20,Boston College,Duke,26,6,0,-16,15.70530244,-31.70530244
32,3,19-Sep-20,Central Florida,Georgia Tech,49,21,0,16,16.29469756,-0.29469756
33,3,19-Sep-20,Cincinnati,Austin Peay,55,20,0,-16,15.70530244,-31.70530244
34,3,19-Sep-20,Clemson,Citadel,49,0,16,-16,31.41080476,-31.41080476
35,3,19-Sep-20,Liberty,Western Kentucky,30,24,0,-16,15.70530244,-31.70530244
36,3,19-Sep-20,Louisiana,Georgia State,34,31,16,0,31.70530244,-15.70530244
37,3,19-Sep-20,Louisiana Tech,Southern Mississippi,31,30,0,-16,15.70530244,-31.70530244
38,3,19-Sep-20,Marshall,Appalachian State,17,7,16,16,32,0
