Team,Rating,Rank
Maryland,169.6512826792049,1.0
Iowa,147.78577056180865,2.0
Brigham Young,146.5167920018436,3.0
Oregon,144.56631506524894,4.0
Rutgers,142.7176018222376,5.0
Pittsburgh,142.599028140469,6.0
Penn State,142.4817975922283,7.5
Notre Dame,142.4817975922283,7.5
Georgia,141.39065143020264,9.5
Texas A&M,141.39065143020264,9.5
Michigan State,140.86032004330423,11.0
Arkansas,140.18227471993632,13.5
Virginia Tech,140.18227471993632,13.5
Kentucky,140.18227471993632,13.5
Mississippi State,140.18227471993632,13.5
Kansas State,139.7093189854279,17.0
Alabama,139.7093189854279,17.0
Mississippi,139.7093189854279,17.0
UCLA,138.75980849539312,19.0
Virginia,138.28441219841292,20.0
Purdue,137.60026833286318,21.0
Texas Christian,136.684632326196,22.5
Michigan,136.684632326196,22.5
Baylor,135.60172009959092,24.0
Texas Tech,134.47320792121613,25.0
Boston College,134.3013554180195,26.5
Florida,134.3013554180195,26.5
South Carolina,133.97981459305947,28.0
Oklahoma,133.35691371317495,29.5
Auburn,133.35691371317495,29.5
Wake Forest,131.76357805425886,31.0
Oklahoma State,131.65116624073755,32.0
Arizona State,130.10276705357813,33.0
Louisville,104.84959183198183,34.0
Nebraska,104.42558265802197,35.0
Stanford,82.51832036143642,36.0
Ohio State,77.74758464180124,37.0
Louisiana State,75.6056036794603,38.0
Miami (FL),74.8430445707557,39.0
Oregon State,74.59358552488969,40.0
Indiana,74.2532936464441,41.0
Wisconsin,73.63466786048936,42.0
Clemson,73.10454657588785,43.0
Utah,72.93446548896512,44.0
Texas,72.59902814046899,46.5
West Virginia,72.59902814046899,46.5
North Carolina State,72.59902814046899,46.5
Missouri,72.59902814046899,46.5
North Carolina,72.4817975922283,49.0
Syracuse,72.42089358901391,50.0
Northwestern,71.95582887947543,51.0
Colorado,71.39065143020265,52.0
Iowa State,70.45711021873373,53.0
Minnesota,70.29966077156978,54.0
Tennessee,70.18227471993632,55.0
Duke,69.0048430511394,56.0
Southern California,68.58720263534741,57.0
Kansas,67.34906395939437,58.0
Vanderbilt,67.34906395939436,59.0
Georgia Tech,66.76425283748321,60.0
Washington State,65.03441472962056,61.0
Washington,6.096670534209299,80.5
California,6.096670534209299,80.5
Illinois,5.57168767652281,82.0
Arizona,4.692023670682659,84.0
Florida State,0.2409484659906056,91.0
