Team,Rating Week 9,Rank Week 9
Oklahoma,249.1129806554046,1.0
Georgia,241.19371986003878,2.0
Wake Forest,222.6840880446168,4.0
Cincinnati,222.4236398364893,5.0
Michigan State,220.6263027970971,6.0
Michigan,219.66008538084716,7.0
Alabama,190.64468558230604,10.0
Mississippi,173.79857550108318,11.0
Pittsburgh,168.48026009981328,12.0
Baylor,167.47993357063504,13.0
Ohio State,167.30297686962885,14.0
Notre Dame,166.33975742039345,15.0
Oklahoma State,164.92835798862092,16.0
Kentucky,164.72696591791902,17.0
Iowa,161.514118454524,18.0
Oregon,154.95538868751248,20.0
Houston,154.72433135363116,21.0
Texas A&M,139.90926728967176,23.0
Virginia,137.24384861678564,25.0
Brigham Young,126.447374095176,29.0
Iowa State,116.56481989988538,30.0
Auburn,111.57792239950061,31.0
Minnesota,107.55384692022045,33.0
Oregon State,103.59276309930482,34.0
North Carolina State,98.96354441366523,36.0
Arizona State,98.106238146485,37.0
Penn State,88.44484693025933,40.0
Arkansas,68.63458480045881,41.0
Wisconsin,65.63317726569937,42.0
UCLA,62.954634037010564,43.0
Clemson,53.01762421224066,45.0
Utah,52.91154762782701,46.0
Texas Tech,50.016450849823045,48.0
Texas,47.41420133145364,50.0
Kansas State,46.89287346774761,51.0
Mississippi State,45.64351427198095,52.0
Louisville,45.540231577293575,53.0
Central Florida,39.75660669011519,55.0
Florida,36.58317456452296,59.0
Purdue,36.41385747149017,60.0
North Carolina,35.35041616541179,65.0
Maryland,30.964128933836705,69.0
Boston College,26.195015408830365,70.0
Louisiana State,25.034766392820856,71.0
Tennessee,14.537095884526213,75.0
Washington State,14.434005199562804,76.0
Syracuse,9.84559945584796,80.0
South Carolina,8.737712843632732,82.0
Florida State,-4.035455751994245,96.0
West Virginia,-5.814188460104141,98.0
Georgia Tech,-10.252725389298398,101.0
Miami (FL),-11.795815970993772,102.0
Stanford,-11.814445650365215,103.0
Northwestern,-18.530645257150425,108.0
Washington,-19.31040270647449,109.0
Texas Christian,-19.98670870154413,110.0
Missouri,-25.393066700243114,114.0
Southern California,-26.08995870065432,115.0
Rutgers,-26.758523914043582,116.0
Duke,-31.272721219119102,124.0
Virginia Tech,-33.506472662728235,152.0
Illinois,-35.25052294686132,175.0
Nebraska,-40.439150655132615,187.0
Indiana,-65.4432933763766,194.0
California,-78.96199500534554,206.0
Colorado,-96.87603747334782,209.0
Vanderbilt,-118.89556756881193,211.0
Kansas,-133.6446798040006,215.0
Arizona,-205.20520451509412,227.0
