Team,Rating,Rank
Iowa,147.78577056180865,1.0
Brigham Young,146.5167920018436,2.0
Oregon,144.56631506524894,3.0
Rutgers,142.7176018222376,4.0
Pittsburgh,142.599028140469,5.0
Notre Dame,142.4817975922283,6.5
Penn State,142.4817975922283,6.5
Texas A&M,141.39065143020264,8.5
Georgia,141.39065143020264,8.5
Michigan State,140.86032004330423,10.0
Mississippi State,140.18227471993632,12.5
Kentucky,140.18227471993632,12.5
Arkansas,140.18227471993632,12.5
Virginia Tech,140.18227471993632,12.5
Mississippi,139.7093189854279,16.0
Kansas State,139.7093189854279,16.0
Alabama,139.7093189854279,16.0
UCLA,138.75980849539312,18.0
Maryland,138.558365561969,19.0
Virginia,138.28441219841292,20.0
Purdue,137.60026833286318,21.0
Michigan,136.684632326196,22.5
Texas Christian,136.684632326196,22.5
Baylor,135.60172009959092,24.0
Texas Tech,134.47320792121613,25.0
Florida,134.3013554180195,26.5
Boston College,134.3013554180195,26.5
South Carolina,133.97981459305947,28.0
Oklahoma,133.35691371317495,29.5
Auburn,133.35691371317495,29.5
Wake Forest,131.76357805425886,31.0
Oklahoma State,131.65116624073755,32.0
Arizona State,130.10276705357813,33.0
Nebraska,104.42558265802197,34.0
Stanford,82.51832036143642,35.0
Ohio State,77.74758464180124,36.0
Louisiana State,75.6056036794603,37.0
Miami (FL),74.8430445707557,38.0
Oregon State,74.59358552488969,39.0
Indiana,74.2532936464441,40.0
Wisconsin,73.63466786048936,41.0
Louisville,73.10454657588785,42.5
Clemson,73.10454657588785,42.5
Utah,72.93446548896512,44.0
Missouri,72.59902814046899,46.5
Texas,72.59902814046899,46.5
North Carolina State,72.59902814046899,46.5
West Virginia,72.59902814046899,46.5
North Carolina,72.4817975922283,49.0
Syracuse,72.42089358901391,50.0
Northwestern,71.95582887947543,51.0
Colorado,71.39065143020265,52.0
Iowa State,70.45711021873373,53.0
Minnesota,70.29966077156978,54.0
Tennessee,70.18227471993632,55.0
Duke,69.0048430511394,56.0
Southern California,68.58720263534741,57.0
Kansas,67.34906395939437,58.0
Vanderbilt,67.34906395939436,59.0
Georgia Tech,66.76425283748321,60.0
Washington State,65.03441472962056,61.0
Illinois,36.664604793758734,72.0
California,6.096670534209299,82.5
Washington,6.096670534209299,82.5
Arizona,4.692023670682659,85.0
Florida State,0.2409484659906056,90.0
