Team,Rating Week 12,Rank Week 12
Georgia,312.46840403600254,1.0
Cincinnati,279.6795440896925,2.0
Texas-San Antonio,274.27931935157557,3.0
Ohio State,248.669682911038,4.0
Notre Dame,244.67506823944228,5.0
Michigan,237.10681686579704,6.0
Oklahoma State,236.72320538669305,7.0
Michigan State,236.02812299575325,8.0
Houston,234.59548491105934,9.0
Louisiana,233.94308569060598,10.0
Oklahoma,233.25772840648443,11.0
Alabama,231.73162574119863,12.0
San Diego State,231.46616400822376,13.0
Oregon,231.41523177254604,14.0
Wake Forest,230.74894221268653,15.0
Mississippi,204.44275228487604,16.0
Baylor,189.50911403448072,17.0
Brigham Young,185.20655770599922,18.0
Iowa,181.41208705708664,19.0
Appalachian State,180.12114558029907,20.0
Pittsburgh,179.86068026110127,21.0
Utah State,169.51911192223315,22.0
Wisconsin,159.22591043329325,23.0
Southern Methodist,158.14734398048108,24.0
Fresno State,149.89396384037474,25.0
Coastal Carolina,142.99702095763658,26.0
Texas A&M,140.15717906150988,27.0
Utah,138.2703602711273,28.0
Clemson,135.86085803771317,29.0
Arkansas,134.26275114319228,30.0
Kansas State,131.19717433947702,31.0
Northern Illinois,128.07615394986743,32.0
North Carolina State,126.33268216478099,33.0
Arizona State,119.78558351628408,34.0
Air Force,114.72204834626555,35.0
Alabama-Birmingham,113.31552472863947,36.0
Nevada,108.08782551164691,37.0
Kentucky,108.02711843443568,38.0
Boise State,104.02029536972364,39.0
Liberty,99.300516940878,40.0
Mississippi State,90.15196462982338,41.0
Army,84.5950371329385,42.0
Purdue,83.34812544639388,43.0
Western Kentucky,77.20294046599736,44.0
Auburn,74.89246047605022,45.0
East Carolina,74.3664274319024,46.0
Central Michigan,73.24650833967499,47.0
Virginia,72.27472299696254,48.0
Iowa State,69.67786481047224,49.0
Penn State,64.25623815594315,50.0
Texas Tech,63.78213677853353,51.0
Central Florida,63.088713348659844,52.0
Minnesota,60.33960876840425,53.0
UCLA,57.25172837888871,54.0
Boston College,57.00962711336216,55.0
Oregon State,47.06385164624664,56.0
Marshall,44.958724683793,57.0
Western Michigan,42.2605353630088,58.0
Georgia State,37.287894049111436,59.0
Montana,36.711182278446294,60.5
East Tennessee State,36.711182278446294,60.5
Incarnate Word,36.40836629456455,62.0
California-Davis,36.208376710266336,64.0
Eastern Washington,36.208376710266336,64.0
South Dakota State,36.208376710266336,64.0
Eastern Michigan,34.92004408370753,66.0
Holy Cross,34.50683788862222,67.0
Texas-El Paso,33.52639074875693,68.0
Northern Arizona,33.271717014840156,69.0
Tennessee,31.371525671034178,70.0
Washington State,28.40913509156391,71.0
Rhode Island,27.688218371785453,72.0
North Carolina,24.46421058268643,73.0
Miami (FL),22.86853517277534,74.0
Missouri,21.38934534806868,75.0
Kent State,18.692436701898927,76.0
Louisville,18.66351290465234,77.0
Ball State,15.015705721192404,78.0
Troy,13.111202768409683,79.0
Florida,12.58172525359102,80.0
Rutgers,9.152229641127352,81.0
Miami (OH),7.802295043171874,82.0
Syracuse,7.510665954787932,83.0
South Carolina,5.962490121243825,84.0
Duquesne,2.797985558642843,85.0
Jacksonville State,1.650457877641145,86.0
Virginia Tech,0.752670576726679,87.0
Wofford,0.0,89.0
Tennessee State,0.0,89.0
Prairie View A&M,0.0,89.0
Toledo,-0.5593598147755898,91.0
Maryland,-0.9734508392253254,92.0
Florida Atlantic,-1.942376429748002,93.0
Middle Tennessee State,-3.0611199538221356,94.0
Memphis,-6.403983051694826,95.0
Maine,-7.235775355992494,96.0
Florida State,-22.865144305877067,97.0
South Alabama,-23.301545806544347,98.0
West Virginia,-23.558193943607804,99.0
Wyoming,-23.78457515482706,100.0
Illinois,-24.739908247368078,101.0
Texas Christian,-27.9069464879312,102.0
Villanova,-28.190256075531543,103.0
Towson,-28.999605008170764,104.0
Stony Brook,-29.7383777194462,105.0
Delaware,-29.819167212589466,106.0
Chattanooga,-29.94428458546911,107.0
Alcorn State,-30.46103670854848,108.0
Bucknell,-31.11341901509598,109.0
Youngstown State,-31.475655644636674,110.0
Stephen F. Austin,-31.53591377701378,112.5
Mercer,-31.53591377701378,112.5
Southern Illinois,-31.53591377701378,112.5
Austin Peay,-31.53591377701378,112.5
Howard,-31.596192655596653,115.0
Alabama State,-31.621280726173186,116.5
Western Carolina,-31.621280726173186,116.5
Louisiana State,-31.637342389673943,118.0
Richmond,-31.791055814775778,119.0
New Hampshire,-31.813947949352098,120.0
Lamar,-31.86520260705564,121.0
Southern California,-31.88974294057427,122.0
North Dakota,-31.949792886390355,123.0
Arkansas-Pine Bluff,-31.95118146329143,124.0
North Carolina Central,-31.974927957852906,125.0
San Jose State,-32.04036759308782,126.0
Missouri State,-33.288817721553706,130.5
