Team,Rating,Rank
Iowa,147.78577056180865,1.0
Brigham Young,146.5167920018436,2.0
Oregon,144.56631506524894,3.0
Rutgers,142.7176018222376,4.0
Pittsburgh,142.599028140469,5.0
Notre Dame,142.4817975922283,6.5
Penn State,142.4817975922283,6.5
Texas A&M,141.39065143020264,8.5
Georgia,141.39065143020264,8.5
Michigan State,140.86032004330423,10.0
Mississippi State,140.18227471993632,12.5
Kentucky,140.18227471993632,12.5
Arkansas,140.18227471993632,12.5
Virginia Tech,140.18227471993632,12.5
Mississippi,139.7093189854279,16.0
Kansas State,139.7093189854279,16.0
Alabama,139.7093189854279,16.0
UCLA,138.75980849539312,18.0
Maryland,138.558365561969,19.0
Virginia,138.28441219841292,20.0
Purdue,137.60026833286318,21.0
Michigan,136.684632326196,22.5
Texas Christian,136.684632326196,22.5
Baylor,135.60172009959092,24.0
Texas Tech,134.47320792121613,25.0
Florida,134.3013554180195,26.5
Boston College,134.3013554180195,26.5
South Carolina,133.97981459305947,28.0
Oklahoma,133.35691371317495,29.5
Auburn,133.35691371317495,29.5
Wake Forest,131.76357805425886,31.0
Oklahoma State,131.65116624073755,32.0
Arizona State,130.10276705357813,33.0
Nebraska,104.42558265802197,34.0
Stanford,82.51832036143642,35.0
Ohio State,77.74758464180124,36.0
Louisiana State,75.6056036794603,37.0
Miami (FL),74.8430445707557,38.0
Oregon State,74.59358552488969,39.0
Indiana,74.2532936464441,40.0
Wisconsin,73.63466786048936,41.0
Louisville,73.10454657588785,42.5
Clemson,73.10454657588785,42.5
Utah,72.93446548896512,44.0
Missouri,72.59902814046899,46.5
Texas,72.59902814046899,46.5
North Carolina State,72.59902814046899,46.5
West Virginia,72.59902814046899,46.5
North Carolina,72.4817975922283,49.0
Syracuse,72.42089358901391,50.0
Northwestern,71.95582887947543,51.0
Colorado,71.39065143020265,52.0
Iowa State,70.45711021873373,53.0
Minnesota,70.29966077156978,54.0
Tennessee,70.18227471993632,55.0
Duke,69.0048430511394,56.0
Southern California,68.58720263534741,57.0
Kansas,67.34906395939437,58.0
Vanderbilt,67.34906395939436,59.0
Georgia Tech,66.76425283748321,60.0
Washington State,65.03441472962056,61.0
Texas-San Antonio,42.91489271769679,62.0
Nevada,41.372034101536386,63.5
Utah State,41.372034101536386,63.5
Coastal Carolina,40.833210760541945,65.0
Wyoming,38.39617899506579,66.0
San Diego State,38.3435103477763,67.0
Liberty,38.0,68.5
Memphis,38.0,68.5
Army,37.8784306158073,70.0
Charlotte,37.45329813350818,71.0
Illinois,36.664604793758734,72.0
Marshall,36.183304668119234,73.0
Southern Methodist,35.58324657946733,74.0
South Alabama,34.87339519406705,75.0
Air Force,34.47802571782279,76.0
Cincinnati,33.8874073106291,77.0
Central Florida,32.29515299307469,78.0
New Mexico,30.515000303535103,79.0
Montana,9.669954630403417,80.5
East Tennessee State,9.669954630403417,80.5
California,6.096670534209299,82.5
Washington,6.096670534209299,82.5
Fresno State,5.407431728233146,84.0
Arizona,4.692023670682659,85.0
California-Davis,4.208376710266336,87.0
Eastern Washington,4.208376710266336,87.0
South Dakota State,4.208376710266336,87.0
Holy Cross,2.506837888622222,89.0
Florida State,0.2409484659906056,90.0
Texas-El Paso,-2.7278155297364677,91.0
Texas State,-23.254571973727927,92.0
Florida Atlantic,-23.41181727392997,93.0
Temple,-24.121668659330254,94.0
Duquesne,-24.240270118561362,95.0
Louisiana Tech,-25.111947925554688,98.5
Old Dominion,-25.111947925554688,98.5
Western Michigan,-25.111947925554688,98.5
Central Michigan,-25.111947925554688,98.5
Tulane,-25.111947925554688,98.5
Kent State,-25.111947925554688,98.5
Houston,-25.23490427433031,102.0
Alabama-Birmingham,-25.33004536959659,103.0
Jacksonville State,-25.38871911565088,104.0
Toledo,-26.421191531622238,105.5
Ball State,-26.421191531622238,105.5
Middle Tennessee State,-26.538422079862926,107.0
Louisiana,-26.8131084626795,108.0
Boise State,-26.880503091877962,109.0
Northern Illinois,-26.934601074928707,110.0
San Jose State,-28.19268758583804,111.0
Buffalo,-28.380665721844192,112.0
Appalachian State,-28.782438510149635,113.0
Eastern Michigan,-29.99081522041597,114.0
Southern Mississippi,-30.298461178355886,115.0
Western Kentucky,-31.878430615807304,116.0
North Texas,-32.0,132.0
Towson,-32.0,132.0
Incarnate Word,-32.0,132.0
Jackson State,-32.0,132.0
Richmond,-32.0,132.0
New Hampshire,-32.0,132.0
Northern Arizona,-32.0,132.0
Sacramento State,-32.0,132.0
Furman,-32.0,132.0
Maine,-32.0,132.0
Southeast Missouri State,-32.0,132.0
Charleston Southern,-32.0,132.0
Tennessee Tech,-32.0,132.0
Central Connecticut State,-32.0,132.0
Villanova,-32.0,132.0
Wofford,-32.0,132.0
Samford,-32.0,132.0
Tennessee State,-32.0,132.0
Florida A&M,-32.0,132.0
Elon,-32.0,132.0
Yale,-32.0,132.0
Delaware,-32.0,132.0
Arkansas-Pine Bluff,-32.0,132.0
Rhode Island,-32.0,132.0
Chattanooga,-32.0,132.0
Bryant,-32.0,132.0
Alcorn State,-32.0,132.0
Albany,-32.0,132.0
Bucknell,-32.0,132.0
Prairie View A&M,-32.0,132.0
Stony Brook,-32.0,132.0
Troy,-34.41675342053267,148.5
Arkansas State,-34.41675342053267,148.5
Georgia Southern,-35.12660480593295,150.0
Florida International,-37.641042656981234,151.0
Hawaii,-55.43655067957198,152.0
Youngstown State,-58.591337272431836,153.0
Mercer,-58.64871292482185,155.0
Austin Peay,-58.64871292482185,155.0
Southern Illinois,-58.64871292482185,155.0
Howard,-58.70613621162927,157.0
Texas Southern,-58.85387611854202,158.0
Stephen F. Austin,-58.910351914568594,159.0
