Team,Rating,Rank
Georgia,1430.207936152067,1.0
Baylor,1377.2465209330962,2.0
Arkansas,1371.9294225692834,3.0
Michigan,1368.2737282566043,4.0
Alabama,1361.5282599698667,5.0
Michigan State,1346.9677308875287,6.0
Iowa,1344.1068136246024,7.0
Boston College,1340.0182259802991,8.0
Wake Forest,1326.9198506626753,9.0
Maryland,1310.3629710369553,10.0
Penn State,1302.8557627990576,11.0
Notre Dame,1289.6708877939552,12.0
Oklahoma,1287.2579336366,13.0
Oregon,1281.8232532224852,14.0
Oregon State,1273.0428397321298,15.0
North Carolina State,1265.6565991223313,16.0
Texas A&M,1264.273887831716,17.0
Mississippi,1262.105417525937,18.0
Texas,1258.7622581414103,19.0
Rutgers,1253.3152153387343,20.0
Kentucky,1233.0812406546395,21.0
Brigham Young,1215.2530302298237,22.0
Pittsburgh,1214.3194190580284,23.0
Auburn,1212.167766126334,24.0
Louisiana State,1211.1271231424157,25.0
Florida,1197.846287109895,26.0
Ohio State,1181.873665265361,27.0
Arizona State,1181.2474719457182,28.0
Purdue,1179.2913641824823,29.0
UCLA,1165.781904417757,30.0
Kansas State,1165.2393232021436,31.0
Louisville,1154.0276945255353,32.0
Virginia Tech,1149.7184766264304,33.0
Oklahoma State,1136.4870537502638,34.0
Duke,1133.806114903883,35.0
Syracuse,1109.8118667370438,36.0
West Virginia,1101.8967676693535,37.0
Texas Tech,1080.9504745853956,38.0
Texas Christian,1078.9380728278825,39.0
Clemson,1048.9399008118494,40.0
Iowa State,1033.2520622513728,41.0
Georgia Tech,1027.4265517771644,42.0
Virginia,1025.6753184881647,43.0
Tennessee,1020.2248035265526,44.0
Southern California,1017.0442823062793,45.0
Utah,1013.0539225809316,46.0
Stanford,1009.7121767842383,47.0
Nebraska,1007.0991931604602,48.0
Missouri,1000.7465555555525,49.0
Northwestern,993.9781076680815,50.0
Washington,992.9948016568529,51.0
Miami (FL),992.6815959151805,52.0
North Carolina,990.365616197397,53.0
Minnesota,975.231315082235,54.0
South Carolina,973.9636266775591,55.0
Texas-San Antonio,973.2425825791388,56.0
Mississippi State,967.0557760565263,57.0
Coastal Carolina,964.4942179279295,58.0
Indiana,959.7711128620166,59.0
Southern Methodist,940.2230366168006,60.0
San Diego State,936.9287810398391,61.0
Fresno State,933.6517497219521,62.0
Wisconsin,932.6081221922942,63.0
Cincinnati,916.8448291976276,64.0
Army,906.4795631785425,65.0
Wyoming,864.35874958169,66.0
Western Michigan,864.0030341124836,67.0
Alabama-Birmingham,836.2507204411688,68.0
Liberty,826.1110246150764,69.0
Houston,823.744519439268,70.0
South Alabama,817.9813456439867,71.0
Air Force,807.8764743347256,72.0
Appalachian State,804.5652180021464,73.0
California,786.9285566035402,74.0
Colorado,778.5970955123324,75.0
Memphis,776.0664327169396,76.0
Louisiana,741.3017902854684,77.0
Washington State,738.5338444294661,78.0
Kansas,736.680089720355,79.0
