Team,Rating,Rank
Georgia,160.5882439045432,1.0
Michigan,126.80239804447928,2.0
Boston College,126.74147245062179,3.0
Wake Forest,123.86773243786642,4.0
Baylor,122.90926825594659,5.0
Alabama,122.54608536118893,6.0
Iowa,121.5163110475771,7.0
Arkansas,118.40013135174034,8.0
Pittsburgh,114.44070946196761,9.0
Maryland,114.1502092463559,10.0
Auburn,112.89241418612745,11.0
Rutgers,112.30690305279887,12.0
Michigan State,111.67086615638623,13.0
Texas A&M,111.53282972483933,14.0
Oregon State,110.86649700103956,15.0
North Carolina State,110.40179205351171,16.0
Texas,109.63430098835681,17.0
Oregon,109.26500531662562,18.0
Penn State,108.88956137834447,19.0
Oklahoma,108.7742721455632,20.0
Mississippi,108.37460521348773,21.0
Nebraska,107.4100735328127,22.0
Florida,106.00673825276826,23.0
Notre Dame,105.97367565410494,24.0
Arizona State,104.6109287966329,25.0
Ohio State,104.13560083793973,26.0
West Virginia,102.43144983713749,27.0
Tennessee,102.15396935026301,28.0
Purdue,100.44166823465919,29.0
Louisiana State,100.00349257521962,30.0
Kentucky,98.98070428801253,31.0
Iowa State,97.68155779551316,32.0
Virginia,97.45803649362229,33.0
UCLA,97.20333009619594,34.0
Virginia Tech,95.32545731174274,35.0
Brigham Young,93.21483539783736,36.0
Kansas State,93.04350951817024,37.0
Northwestern,92.78815824038644,38.0
Southern California,91.9048929149503,39.0
Louisville,90.71310373305411,40.0
Clemson,90.6816816342719,41.0
Texas Christian,89.53153911153353,42.0
Duke,88.14818781256768,43.0
Minnesota,88.03721540334445,44.0
Georgia Tech,84.92962757104598,45.0
Utah,83.1111995177946,46.0
Syracuse,82.64461722741493,47.0
Missouri,81.42883548815111,48.0
Oklahoma State,79.09755258516174,49.0
Texas Tech,78.7441633261879,50.0
Mississippi State,78.6295329893779,51.0
South Carolina,77.74575148019578,52.0
North Carolina,77.35785985171403,53.0
Washington,75.49031481360637,54.0
Miami (FL),72.82547851749335,55.0
Stanford,72.25321931311015,56.0
Wisconsin,68.33012690739952,57.0
California,65.55801271120094,58.0
Indiana,57.20553708469512,59.0
Illinois,53.69007376777516,60.0
Florida State,48.67862888737307,61.0
Washington State,46.75702585044531,62.0
Colorado,40.724395293540056,63.0
Arizona,34.8438300724484,64.0
Kansas,30.738010645394354,65.0
Coastal Carolina,29.988821090934977,66.0
Fresno State,26.9610053440261,67.0
Air Force,21.42540170570764,68.0
Texas-San Antonio,20.605395563919473,69.0
Cincinnati,19.588148506583977,70.0
Western Michigan,19.10470507416898,71.0
Houston,18.211435730835188,72.0
Boise State,17.628417069569608,73.0
Liberty,16.69334952428587,74.0
San Diego State,16.292332715843493,75.0
Southern Methodist,16.075663234504216,76.0
Alabama-Birmingham,10.50717613827964,77.0
Army,9.613566672101351,78.0
Marshall,8.073926578126631,79.0
Vanderbilt,5.434700033400997,80.0
Appalachian State,0.10934997454758344,81.0
East Tennessee State,-0.3300453695965935,82.0
Central Michigan,-6.790956808086849,83.0
Central Florida,-7.306428258691973,84.0
Nevada,-7.4510261359289744,85.0
South Alabama,-7.932241871471853,86.0
Troy,-8.65153808743484,87.0
Wyoming,-10.716754778061938,88.0
Memphis,-12.562175748430839,89.0
Eastern Michigan,-14.007016976113785,90.0
Western Kentucky,-15.287101977264129,91.0
Louisiana,-15.486953015053658,92.0
Montana,-15.784590824142047,93.0
Texas-El Paso,-18.05631552395709,94.0
Toledo,-18.848741997012084,95.0
South Dakota State,-20.86625015540531,96.0
Florida Atlantic,-20.943791916179045,97.0
Colorado State,-21.00307625957035,98.0
Charlotte,-22.523997717801915,99.0
Louisiana Tech,-23.62407832484348,100.0
Bowling Green State,-24.070695768245024,101.0
Tulane,-24.959087884111437,102.0
Northern Arizona,-25.02864687645663,103.0
Buffalo,-26.126826405899692,104.0
Incarnate Word,-26.92570857903446,105.0
Holy Cross,-27.271098298941602,106.0
Florida International,-27.41840471240818,107.0
Chattanooga,-27.83020870963933,108.0
Louisiana-Monroe,-28.42199448508353,109.0
South Dakota,-28.51186355141477,110.0
California-Davis,-28.949518026575774,111.0
Stephen F. Austin,-29.16214808998795,112.0
Southern Illinois,-29.459358928926385,113.0
Northern Illinois,-29.542090252554466,114.0
Eastern Washington,-29.79162328973367,115.0
Missouri State,-31.305655125694148,116.0
Sacramento State,-31.447030834369254,117.0
Middle Tennessee State,-31.480776191871772,118.0
Southeastern Louisiana,-31.66074349738542,119.0
East Carolina,-31.691982342978537,120.0
Bucknell,-32.0,124.5
Rhode Island,-32.0,124.5
Samford,-32.0,124.5
Arkansas-Pine Bluff,-32.0,124.5
Yale,-32.0,124.5
Prairie View A&M,-32.0,124.5
Tennessee State,-32.0,124.5
Wofford,-32.0,124.5
Charleston Southern,-32.52379018337209,129.0
Northern Iowa,-32.83004536959659,130.0
Temple,-33.46705598675295,131.0
Montana State,-33.62946112757151,132.0
Alcorn State,-34.51263505176172,133.0
Miami (OH),-34.95396900906422,134.0
Tulsa,-35.21798601363383,135.0
Old Dominion,-35.87665667370043,136.0
Richmond,-36.37323129993955,137.0
Hawaii,-36.96576978807801,138.0
Villanova,-36.979455617714976,139.0
Western Illinois,-37.273104771215145,140.0
Utah State,-37.39906245811224,141.0
Southeast Missouri State,-37.647859331491496,142.0
Houston Baptist,-38.400318941907585,143.0
Weber State,-38.97411316620676,144.0
Jackson State,-39.87103649382578,145.0
Kent State,-40.07874650302041,146.0
Albany,-40.511997863412944,147.0
Portland State,-40.72359562890947,148.0
North Carolina A&T,-40.935916190925134,149.0
Kennesaw State,-41.004782812125185,150.0
Central Arkansas,-41.34717884528922,151.0
Youngstown State,-41.69611965721763,152.0
North Dakota,-41.70405189763951,153.0
Towson,-42.190132124783275,154.0
Delaware,-42.58724372666398,155.0
Austin Peay,-42.60322338229117,156.0
Mercer,-43.03584237273257,157.0
St. Francis (PA),-44.25316175127213,158.0
Lafayette,-45.203387995616026,159.0
Florida A&M,-45.340760138475325,160.0
Nicholls State,-45.51957208298238,161.0
Indiana State,-45.55122190453798,162.0
Southern Mississippi,-46.306951726225755,163.0
Texas State,-46.458458481977374,164.0
Bryant,-46.66602644141234,165.0
Tennessee-Martin,-47.011135484855615,166.0
South Florida,-47.35699702717908,167.0
McNeese State,-47.49167567650241,168.0
Northern Colorado,-47.60277264232387,169.0
Georgia State,-47.945619189086734,170.0
San Jose State,-47.9638461456182,171.0
Maine,-48.05500193971623,172.0
Northwestern State,-48.291623289733664,173.0
Monmouth,-49.075205379285904,174.0
Furman,-49.34179481980906,175.0
Morgan State,-49.416608253416,176.0
Stony Brook,-50.28233327559521,177.0
Citadel,-50.35044681914543,178.0
North Carolina Central,-50.70816610562663,179.0
Elon,-51.38802799764731,180.0
Duquesne,-51.791837135629564,181.0
Arkansas State,-51.82205057527223,182.0
Gardner-Webb,-51.85636136032858,183.0
Idaho State,-52.61872438116445,184.0
Eastern Kentucky,-52.79906608154532,185.0
New Hampshire,-53.07892403610399,186.0
Cal Poly,-53.864058979853546,187.0
Jacksonville State,-54.055275211343414,188.0
New Mexico,-54.28349199381731,189.0
Bethune-Cookman,-54.82913477326506,190.0
Abilene Christian,-55.34386209570381,191.0
Virginia Military Institute,-55.79191595283998,192.0
Campbell,-55.9670618862249,193.0
Hampton,-56.49990897631564,194.0
Southern Utah,-57.68657734867794,195.0
Alabama State,-58.38456920398747,196.0
Tennessee Tech,-58.477391391773025,197.0
William & Mary,-58.77448981404103,198.0
Eastern Illinois,-58.871712036263254,199.0
Colgate,-59.00929065261546,200.0
North Texas,-59.037722529661345,201.0
Howard,-59.113011974082035,202.0
South Carolina State,-59.18704371615424,203.0
Texas Southern,-59.25180529102805,204.0
Norfolk State,-59.63652020076833,205.0
Western Carolina,-59.64630485079846,206.0
Central Connecticut State,-61.0213300127099,207.0
Southern,-61.124956623067,208.0
Lamar,-64.01804049434774,209.0
Illinois State,-64.04534806333234,210.0
Robert Morris,-64.2601737681972,211.0
Akron,-65.44469242634676,212.0
Ball State,-65.58325348448662,213.0
Fordham,-66.15399321099913,214.0
Murray State,-67.84796681737271,215.0
Nevada-Las Vegas,-69.11236206781611,216.0
Georgia Southern,-71.24135763259255,217.0
Idaho,-72.99938626729075,218.0
Ohio,-80.5738628021344,219.0
Wagner,-81.0685120992457,220.0
Navy,-82.0998411123106,221.0
New Mexico State,-82.6020940379514,222.0
Rice,-83.1111955681708,223.0
Massachusetts,-85.32643940682988,224.0
Grambling State,-94.57749792407807,225.0
Long Island,-100.47830671179227,226.0
Connecticut,-103.05616102678492,227.0
