Team,Rating Week 7,Rank Week 7
Georgia,1455.0607621544516,1.0
Iowa,1429.1999178043952,2.0
Michigan,1409.4721576279642,3.0
Coastal Carolina,1396.8248079478415,4.0
Cincinnati,1389.0678753459335,5.0
Ohio State,1368.3099262436529,6.0
Penn State,1340.337363618062,7.0
Michigan State,1337.2952353359374,8.0
Air Force,1328.9347689901144,9.0
Houston,1324.091061601232,10.0
Wake Forest,1320.3173281087472,11.0
Liberty,1318.008024295512,12.0
Oklahoma,1317.9853275463881,13.0
Kentucky,1317.549394831494,14.0
Alabama,1314.2592745632546,15.0
Arizona State,1309.5034307074181,16.0
Southern Methodist,1295.2192121665998,17.0
Baylor,1291.6631787128501,18.0
Pittsburgh,1283.5069083291892,19.0
San Diego State,1281.740763025169,20.0
Texas-San Antonio,1279.045323724601,21.0
Boston College,1239.1380981052544,22.0
North Carolina State,1234.0644756191036,23.0
Tennessee,1203.0045377580736,24.0
Mississippi,1192.5508019250333,25.0
Florida,1190.3635626844925,26.0
Oklahoma State,1188.8446081589632,27.0
Texas,1188.3752719180063,28.0
Notre Dame,1188.1685721321728,29.0
Oregon,1179.802208564633,30.0
Appalachian State,1179.1689075471518,31.0
Texas A&M,1166.9688285304128,32.0
Auburn,1158.059210863794,33.0
Oregon State,1132.812259964339,34.0
Brigham Young,1123.5812636201465,35.0
Virginia,1123.2305480450275,36.0
Fresno State,1110.6722344964526,37.0
Iowa State,1099.3636887113576,38.0
UCLA,1095.6782054780163,39.0
Nevada,1082.0855180622227,40.0
Army,1077.7510776273946,41.0
Texas-El Paso,1072.3695445176288,42.0
Texas Christian,1063.4724700270779,43.0
Arkansas,1063.4211927865729,44.0
Alabama-Birmingham,1061.3222145831364,45.0
Clemson,1059.3465054766143,46.0
Utah,1051.1460988507263,47.0
Minnesota,1048.4288818326484,48.0
Western Michigan,1039.6466504853622,49.0
Virginia Tech,1020.8642217615901,50.0
Kansas State,1002.6853175873032,51.0
Boise State,1000.2207261325777,52.0
Louisiana,985.4060825921771,53.0
Wyoming,976.4666139822637,54.0
Mississippi State,964.3276756228541,55.0
Texas Tech,957.2861251563639,56.0
East Tennessee State,956.2620715466144,57.0
Maryland,940.7544560436733,58.0
Purdue,930.4302229200567,59.0
Central Florida,886.3439583472028,60.0
Louisville,874.7552494503059,61.0
Louisiana State,865.6647409796125,62.0
Nebraska,851.0163805940897,63.0
Montana,848.1004705095021,64.0
Eastern Michigan,845.9610771459588,65.0
Northern Illinois,840.5717617537633,66.0
Southern California,835.4035049378466,67.0
South Dakota State,833.2654695588091,68.0
South Alabama,825.3003131910319,69.0
North Carolina,816.3727559524165,70.0
Syracuse,796.4289685975119,71.0
Georgia Tech,795.216358171317,72.0
Incarnate Word,792.2209153421666,73.0
Charlotte,785.287579380848,74.0
Marshall,774.6158812685009,75.0
Washington State,765.3056515401273,76.0
Rutgers,764.7988307297745,77.0
Holy Cross,763.8468166786182,78.0
California-Davis,758.2264766974756,79.0
South Carolina,754.91601759449,80.0
Eastern Washington,739.3536482466263,81.0
Northern Arizona,730.2168878194017,82.0
Wisconsin,724.3313894256634,83.0
Toledo,721.2743550066069,84.0
Missouri,706.7197298105696,85.0
Troy,659.7043204537887,86.0
Washington,636.5353674511233,87.0
East Carolina,634.7632465821017,88.0
Florida Atlantic,602.4814488519321,89.0
Central Michigan,595.5713061890781,90.0
Stanford,594.8027795185603,91.0
Miami (FL),591.3884027737075,92.0
Memphis,590.5451982722606,93.0
Colorado State,586.853888746206,94.0
Duke,559.9427738416003,95.0
Northwestern,527.5276983493186,96.0
Yale,527.390164001942,97.0
Arkansas-Pine Bluff,518.3354282196714,98.0
Samford,515.5504358050168,99.0
Tennessee State,512.6615722396683,100.0
Rhode Island,512.2138880443754,101.0
Wofford,505.322693953728,102.0
Bucknell,504.7621856709575,103.0
Louisiana Tech,503.3989459941669,104.0
Prairie View A&M,483.5171859128198,105.0
Ball State,466.8943050742117,106.0
Hawaii,383.4308455513182,107.0
Chattanooga,350.72845133204623,108.0
Kent State,343.83378305575775,109.0
Alcorn State,259.66944402646783,110.0
Stephen F. Austin,257.4939074420275,111.0
Southern Illinois,241.10395799514492,112.0
Utah State,205.8652094595384,113.0
Villanova,184.27836597212104,114.0
Towson,153.42437203110293,115.0
South Dakota,112.30816497831091,116.0
Richmond,58.127533419452334,117.0
Missouri State,44.21356438164705,118.0
Florida State,13.79085121402132,119.0
Northern Iowa,10.323694286692263,120.0
North Dakota,-0.9580203511022201,121.0
Texas State,-36.06633183371566,122.0
Youngstown State,-38.6340140305892,123.0
Delaware,-48.497450398928905,124.0
Weber State,-74.81511530877073,125.0
Montana State,-83.156723254775,126.0
Mercer,-87.36050078297991,127.0
Austin Peay,-98.84581330131243,128.0
Southeast Missouri State,-118.63282256074775,129.0
Charleston Southern,-140.24338365476973,130.0
Houston Baptist,-148.620483395946,131.0
Western Illinois,-164.18419312706794,132.0
Central Arkansas,-172.6320900847837,133.0
Duquesne,-176.86193356918383,134.0
Albany,-192.0157830297035,135.0
Southeastern Louisiana,-217.9863958827565,136.0
St. Francis (PA),-224.2588967445106,137.0
Lafayette,-244.32058626374007,138.0
West Virginia,-247.2753489306055,139.0
Jacksonville State,-270.7435316427727,140.0
Stony Brook,-275.77748071135954,141.0
Indiana,-300.32707673503916,142.0
Jackson State,-350.5675392116821,143.0
North Carolina Central,-351.17433689598585,144.0
Sacramento State,-385.0562384333549,145.0
Monmouth,-394.6828924015871,146.0
North Carolina A&T,-399.07627077276385,147.0
Idaho State,-403.06142165675556,148.0
Tennessee-Martin,-412.5686689942604,149.0
Northwestern State,-420.3367022621561,150.0
Miami (OH),-443.9117138325393,151.0
Kennesaw State,-471.81209462127225,152.0
Northern Colorado,-484.57383556365176,153.0
New Hampshire,-498.1939678904202,154.0
Citadel,-506.5858303768019,155.0
Furman,-525.6595569786512,156.0
San Jose State,-530.4807229865346,157.0
Alabama State,-567.8645715363494,158.0
Elon,-570.8026639363935,159.0
Maine,-575.9311463624957,160.0
Indiana State,-606.2088377659164,161.0
McNeese State,-619.9046159344659,162.0
Morgan State,-624.9117496478486,163.0
Cal Poly,-629.8859750359907,164.0
Abilene Christian,-630.0626664641566,165.0
Campbell,-630.75951106649,166.0
Middle Tennessee State,-635.7177778408158,167.0
Florida A&M,-635.845968232508,168.0
Bryant,-676.7470946937026,169.0
Buffalo,-689.0813035382575,170.0
Howard,-696.8959834079245,171.0
William & Mary,-720.2698654139485,172.0
Eastern Illinois,-755.5575875931756,173.0
Southern,-762.9618678851073,174.0
Tennessee Tech,-777.9510540839568,175.0
Eastern Kentucky,-784.6188615367444,176.0
Virginia Military Institute,-794.476436821558,177.0
Lamar,-814.1101178563441,178.0
Colgate,-829.1026628278565,179.0
Hampton,-833.9305166084787,180.0
Temple,-857.1397796885809,181.0
Georgia State,-857.8012144936141,182.0
Western Carolina,-869.0569788120164,183.0
Tulsa,-919.2200641838663,184.0
Bethune-Cookman,-920.7991351225587,185.0
Gardner-Webb,-986.5209967432382,186.0
Illinois State,-1074.1026479480686,187.0
Southern Utah,-1118.2464520647814,188.0
Nicholls State,-1119.248075464688,189.0
Robert Morris,-1129.3043756837476,190.0
Central Connecticut State,-1137.4896024856673,191.0
Norfolk State,-1182.1999383109728,192.0
Portland State,-1198.1066781852364,193.0
Bowling Green State,-1226.2362122549066,194.0
Georgia Southern,-1291.2943198818898,195.0
Louisiana-Monroe,-1373.698285350196,196.0
Western Kentucky,-1379.0748175805977,197.0
Texas Southern,-1398.4312828690342,198.0
South Carolina State,-1431.3229788519743,199.0
California,-1464.0537147687414,200.0
Murray State,-1490.737081901359,201.0
Akron,-1549.1494085623942,202.0
Fordham,-1558.7139001818784,203.0
Illinois,-1592.050728050305,204.0
South Florida,-1623.9304783795785,205.0
Tulane,-1714.7200650299908,206.0
North Texas,-1734.5910448185316,207.0
Colorado,-1781.2133486994703,208.0
Navy,-1849.5108051846687,209.0
Rice,-1869.0268045075675,210.0
Wagner,-1877.9432728467473,211.0
Old Dominion,-1882.4046760304575,212.0
Idaho,-1942.5019078175458,213.0
Southern Mississippi,-1965.9164839595912,214.0
Kansas,-2003.1562302098052,215.0
Florida International,-2052.5393394112175,216.0
New Mexico,-2103.4978196570755,217.0
Ohio,-2169.561607122213,218.0
Grambling State,-2227.726294973248,219.0
Arkansas State,-2285.040909562429,220.0
Arizona,-2314.4718863971393,221.0
Long Island,-2407.6887945998765,222.0
Vanderbilt,-2461.572705313391,223.0
Nevada-Las Vegas,-2490.224212311458,224.0
Massachusetts,-2527.1475165190946,225.0
New Mexico State,-2625.9050855218147,226.0
Connecticut,-2871.359001342948,227.0
