Team,Rating,Rank
Kansas City Chiefs,0.8479712998708349,1.0
Buffalo Bills,0.8092772825430775,2.0
Tampa Bay Buccaneers,0.7575885436369512,3.0
Green Bay Packers,0.7161097434208646,4.0
New Orleans Saints,0.7029592775227486,5.0
Pittsburgh Steelers,0.6636483307506755,6.0
Seattle Seahawks,0.6540578417253924,7.0
Baltimore Ravens,0.6519227324287447,8.0
Cleveland Browns,0.6319664162682858,9.0
Tennessee Titans,0.6125401043768196,10.0
Los Angeles Rams,0.6118016156359875,11.0
Miami Dolphins,0.6099363099864437,12.0
Indianapolis Colts,0.6003661780863061,13.0
Las Vegas Raiders,0.5546777416840842,14.0
New England Patriots,0.4840107134115599,15.0
Arizona Cardinals,0.477991408170021,16.0
Chicago Bears,0.47029491117090344,17.0
Los Angeles Chargers,0.46615097930392824,18.0
Minnesota Vikings,0.434609366912161,19.0
San Francisco 49ers,0.41403267624906104,20.0
Denver Broncos,0.40687053372272947,21.0
Washington Football Team,0.3896544146996171,22.0
New York Giants,0.3727396980250026,23.0
Carolina Panthers,0.3704267410490701,24.0
Dallas Cowboys,0.3494369531125922,25.0
Cincinnati Bengals,0.33322940012602315,26.0
Detroit Lions,0.3278169183137437,27.0
Atlanta Falcons,0.3272191896474875,28.0
Houston Texans,0.29136268282505284,29.0
Philadelphia Eagles,0.2822989763317904,30.0
New York Jets,0.2484630723665997,31.0
Jacksonville Jaguars,0.12856794662545176,32.0
