Team,Rating,O Rating,D Rating,Rank,Weighted Rating,Weighted O Rating,Weighted D Rating
Tampa Bay Buccaneers,12.015624999999996,19.6586189516129,-7.642993951612906,1.0,8.010416666666664,13.105745967741933,-5.095329301075271
Kansas City Chiefs,10.859374999999995,18.547160618279577,-7.68778561827958,2.0,7.2395833333333295,12.364773745519717,-5.125190412186386
Buffalo Bills,10.703124999999995,18.369035618279575,-7.665910618279582,3.0,7.1354166666666625,12.246023745519716,-5.110607078853055
New Orleans Saints,10.359374999999993,18.080493951612908,-7.721118951612916,4.0,6.906249999999995,12.053662634408605,-5.14741263440861
Green Bay Packers,10.234374999999995,17.917993951612907,-7.683618951612913,5.0,6.8229166666666625,11.94532930107527,-5.122412634408608
Baltimore Ravens,7.765624999999999,15.766952284946242,-8.001327284946242,6.0,5.177083333333332,10.511301523297494,-5.334218189964162
Seattle Seahawks,7.015624999999999,15.091952284946235,-8.076327284946235,7.0,4.677083333333332,10.06130152329749,-5.384218189964156
Pittsburgh Steelers,6.984374999999998,15.0929939516129,-8.108618951612902,8.0,4.656249999999998,10.061995967741932,-5.405745967741934
Los Angeles Rams,5.187499999999998,13.752889784946236,-8.565389784946237,9.0,3.458333333333332,9.168593189964156,-5.710259856630825
Tennessee Titans,4.0,12.859139784946235,-8.859139784946235,10.0,2.6666666666666665,8.572759856630823,-5.906093189964157
Miami Dolphins,3.578125,12.539868951612906,-8.961743951612906,11.0,2.3854166666666665,8.359912634408603,-5.974495967741937
Indianapolis Colts,3.1093750000000004,12.255493951612905,-9.146118951612905,12.0,2.072916666666667,8.17032930107527,-6.097412634408603
Cleveland Browns,2.9531250000000013,12.427368951612904,-9.474243951612902,13.0,1.9687500000000009,8.284912634408602,-6.316162634408601
Arizona Cardinals,1.4062499999999998,11.26226478494624,-9.85601478494624,14.0,0.9374999999999998,7.508176523297493,-6.570676523297493
Las Vegas Raiders,0.35937500000000044,10.74716061827957,-10.38778561827957,15.0,0.23958333333333362,7.164773745519714,-6.92519041218638
New England Patriots,0.2187500000000004,10.585181451612907,-10.366431451612907,16.0,0.1458333333333336,7.056787634408605,-6.910954301075272
Chicago Bears,-0.14062499999999983,10.397160618279568,-10.537785618279568,17.0,-0.09374999999999989,6.931440412186378,-7.025190412186378
San Francisco 49ers,-1.406249999999999,9.856014784946238,-11.262264784946236,18.0,-0.9374999999999992,6.570676523297491,-7.50817652329749
Los Angeles Chargers,-2.124999999999999,9.563306451612906,-11.688306451612904,19.0,-1.416666666666666,6.375537634408603,-7.7922043010752695
Minnesota Vikings,-2.2187499999999996,9.46643145161291,-11.68518145161291,20.0,-1.4791666666666663,6.310954301075274,-7.79012096774194
Washington Football Team,-3.1718749999999543,9.13153561827957,-12.303410618279523,21.0,-2.114583333333303,6.0876904121863795,-8.202273745519681
Carolina Panthers,-4.171874999999999,8.848202284946236,-13.020077284946236,22.0,-2.781249999999999,5.89880152329749,-8.68005152329749
Denver Broncos,-5.0937500000000036,8.662264784946233,-13.756014784946236,23.0,-3.3958333333333357,5.774843189964155,-9.170676523297491
Atlanta Falcons,-5.296874999999999,8.91903561827958,-14.215910618279578,24.0,-3.531249999999999,5.946023745519719,-9.477273745519717
New York Giants,-5.343749999999999,8.470598118279572,-13.81434811827957,25.0,-3.562499999999999,5.647065412186381,-9.209565412186379
Dallas Cowboys,-6.718750000000001,8.149764784946235,-14.868514784946237,26.0,-4.479166666666667,5.43317652329749,-9.912343189964158
Cincinnati Bengals,-8.375000000000002,7.938306451612897,-16.3133064516129,27.0,-5.583333333333334,5.292204301075264,-10.875537634408598
Detroit Lions,-8.734375000000005,7.866952284946242,-16.601327284946247,28.0,-5.82291666666667,5.244634856630828,-11.067551523297498
Houston Texans,-8.84375,7.837264784946239,-16.68101478494624,29.0,-5.895833333333333,5.224843189964159,-11.120676523297492
Philadelphia Eagles,-8.859375000000005,7.887785618279574,-16.74716061827958,30.0,-5.9062500000000036,5.258523745519716,-11.16477374551972
New York Jets,-12.843750000000005,7.637264784946241,-20.481014784946247,31.0,-8.562500000000004,5.091509856630827,-13.65400985663083
Jacksonville Jaguars,-13.406250000000002,7.639348118279566,-21.045598118279568,32.0,-8.9375,5.09289874551971,-14.030398745519712
