Team,Rating,O Rating,D Rating,Rank
New Orleans Saints,10.69010928984855,17.227190420549487,-6.537081130700936,1.0
Tampa Bay Buccaneers,10.117510286237962,19.132683826815587,-9.015173540577626,2.0
Buffalo Bills,7.227985284879215,18.08617756277075,-10.858192277891535,3.0
Baltimore Ravens,6.636342387963926,13.981727364921632,-7.345384976957707,4.0
Kansas City Chiefs,6.4275213770810415,16.366500991407186,-9.938979614326145,5.0
Los Angeles Rams,6.410322532832633,12.617928451040449,-6.207605918207815,6.0
Green Bay Packers,6.090800867247883,17.24579602040084,-11.154995153152957,7.0
Seattle Seahawks,5.841816831296548,17.19711391922506,-11.355297087928514,8.0
Arizona Cardinals,4.263033291280342,14.570015904585912,-10.30698261330557,9.0
Pittsburgh Steelers,4.1738396438538015,13.255177150924409,-9.081337507070607,10.0
Miami Dolphins,3.178692364747162,12.658233931025215,-9.479541566278053,11.0
Indianapolis Colts,1.816400832031825,12.77994089638616,-10.963540064354335,12.0
San Francisco 49ers,1.3380970910050913,13.501039895035076,-12.162942804029985,13.0
Tennessee Titans,-0.29706255186637914,15.393781676916825,-15.690844228783204,14.0
New England Patriots,-0.5206643683315704,8.42986069282784,-8.950525061159409,15.0
Washington Football Team,-0.5728843093508882,8.420901792108527,-8.993786101459415,16.0
Atlanta Falcons,-0.8489837786763215,11.367658463098621,-12.216642241774943,17.0
Las Vegas Raiders,-0.8939289710629549,16.163788071934395,-17.05771704299735,18.0
Chicago Bears,-1.175454559012214,9.381113021781163,-10.556567580793377,19.0
Cleveland Browns,-1.3465213076706686,14.083473076408831,-15.4299943840795,20.0
Carolina Panthers,-1.3482394858073912,9.768480025450256,-11.116719511257648,21.0
Los Angeles Chargers,-2.3596174898825897,11.613743973228326,-13.973361463110916,22.0
Philadelphia Eagles,-2.4031996509693982,10.311450408766612,-12.71465005973601,23.0
Minnesota Vikings,-3.458957282984598,13.2798277990829,-16.738785082067498,24.0
Dallas Cowboys,-4.093850027487456,13.866078303049608,-17.959928330537064,25.0
New York Giants,-4.773824199008835,5.52457113796289,-10.298395336971724,26.0
Denver Broncos,-5.051995761554878,8.829419800837726,-13.881415562392604,27.0
Houston Texans,-5.7924526854356095,11.084629713768646,-16.877082399204255,28.0
Cincinnati Bengals,-7.222133843767208,7.180725852055416,-14.402859695822624,29.0
Detroit Lions,-8.274619750727092,11.805541034481442,-20.080160785208534,30.0
New York Jets,-10.831240264580082,3.88405447784422,-14.715294742424302,31.0
Jacksonville Jaguars,-12.946841792129858,5.577470354210027,-18.524312146339884,32.0
