Team,Rating,O Rating,D Rating,Rank
Tampa Bay Buccaneers,11.5625,19.204637096774192,-7.64213709677419,1.0
New Orleans Saints,11.359375,19.044741263440862,-7.685366263440862,2.0
Kansas City Chiefs,10.796874999999996,18.480157930107527,-7.683282930107531,3.0
Buffalo Bills,10.687500000000005,18.350470430107514,-7.66297043010751,4.0
Green Bay Packers,8.109375,15.986407930107529,-7.877032930107528,5.0
Pittsburgh Steelers,7.734375000000002,15.732241263440862,-7.9978662634408595,6.0
Seattle Seahawks,7.562500000000003,15.521303763440857,-7.958803763440854,7.0
Los Angeles Rams,6.781250000000001,14.930678763440863,-8.149428763440863,8.0
Baltimore Ravens,6.343749999999999,14.628595430107527,-8.284845430107527,9.0
Miami Dolphins,5.765625000000002,14.147866263440864,-8.382241263440863,10.0
Arizona Cardinals,2.796875,12.196824596774194,-9.399949596774194,11.0
Cleveland Browns,2.1406250000000013,11.768699596774194,-9.628074596774193,12.0
Indianapolis Colts,2.093750000000001,11.65359543010753,-9.559845430107528,13.0
Las Vegas Raiders,1.7968750000000007,11.513491263440864,-9.716616263440864,14.0
Tennessee Titans,1.5781250000000009,11.320782930107526,-9.742657930107526,15.0
San Francisco 49ers,-0.12500000000000003,10.460887096774195,-10.585887096774195,16.0
New England Patriots,-0.5312499999999992,10.14109543010753,-10.67234543010753,17.0
Los Angeles Chargers,-0.859374999999999,10.102032930107534,-10.961407930107532,18.0
Chicago Bears,-2.2812499999999987,9.399428763440861,-11.68067876344086,19.0
Carolina Panthers,-2.859375,9.185366263440857,-12.044741263440857,20.0
Washington Football Team,-3.546875000000003,8.991616263440863,-12.538491263440866,21.0
Denver Broncos,-3.6093749999999996,9.127032930107521,-12.736407930107521,22.0
Minnesota Vikings,-4.374999999999998,8.719220430107532,-13.09422043010753,23.0
Atlanta Falcons,-6.1874999999999964,8.446303763440854,-14.63380376344085,24.0
Philadelphia Eagles,-6.374999999999998,8.26922043010753,-14.644220430107529,25.0
New York Giants,-6.468749999999998,8.222345430107532,-14.69109543010753,26.0
Dallas Cowboys,-6.656249999999999,8.145262096774196,-14.801512096774196,27.0
Cincinnati Bengals,-7.156249999999998,8.195262096774202,-15.3515120967742,28.0
Houston Texans,-9.453125,7.821824596774199,-17.2749495967742,29.0
Detroit Lions,-10.156249999999998,7.745262096774185,-17.901512096774184,30.0
New York Jets,-12.453124999999998,7.671824596774192,-20.12494959677419,31.0
Jacksonville Jaguars,-14.015624999999996,7.673907930107532,-21.68953293010753,32.0
