Team,Rating,O Rating,D Rating,Rank,,,,Rank,Team,Rating,O Rating,D Rating,Prev Rank
Arizona Cardinals,12.578125,19.11460013,-6.536475134,1,,,,1,Arizona Cardinals,12.58,19.11,-6.54,1
Dallas Cowboys,11.640625,18.1625168,-6.521891801,2,,,,2,Dallas Cowboys,11.64,18.16,-6.52,2
Tampa Bay Buccaneers,9.296875,15.9906418,-6.693766801,3,,,,3,Tampa Bay Buccaneers,9.3,15.99,-6.69,4
Tennessee Titans,8.34375,15.17241263,-6.828662634,4,,,,4,Tennessee Titans,8.34,15.17,-6.83,3
Green Bay Packers,8.34375,15.27241263,-6.928662634,5,,,,5,Green Bay Packers,8.34,15.27,-6.93,6
Kansas City Chiefs,7.75,14.6422043,-6.892204301,6,,,,6,Kansas City Chiefs,7.75,14.64,-6.89,8
New England Patriots,7.34375,14.47241263,-7.128662634,7,,,,7,New England Patriots,7.34,14.47,-7.13,10
Los Angeles Rams,6.359375,13.4718918,-7.112516801,8,,,,8,Los Angeles Rams,6.36,13.47,-7.11,7
Buffalo Bills,5.109375,12.96355847,-7.854183468,9,,,,9,Buffalo Bills,5.11,12.96,-7.85,5
Baltimore Ravens,4.75,12.65887097,-7.908870968,10,,,,10,Baltimore Ravens,4.75,12.66,-7.91,12
Los Angeles Chargers,4.265625,12.1250168,-7.859391801,11,,,,11,Los Angeles Chargers,4.27,12.13,-7.86,11
Minnesota Vikings,4.125,11.84637097,-7.721370968,12,,,,12,Minnesota Vikings,4.12,11.85,-7.72,19
Indianapolis Colts,2.953125,11.2187668,-8.265641801,13,,,,13,Indianapolis Colts,2.95,11.22,-8.27,20
New Orleans Saints,2.34375,10.87241263,-8.528662634,14,,,,14,New Orleans Saints,2.34,10.87,-8.53,9
Cincinnati Bengals,2.25,10.7422043,-8.492204301,15,,,,15,Cincinnati Bengals,2.25,10.74,-8.49,17
Cleveland Browns,1.828125,10.67293347,-8.844808468,16,,,,16,Cleveland Browns,1.83,10.67,-8.84,14
San Francisco 49ers,1.46875,10.31824597,-8.849495968,17,,,,17,San Francisco 49ers,1.47,10.32,-8.85,16
Philadelphia Eagles,0.046875,9.715641801,-9.668766801,18,,,,18,Philadelphia Eagles,0.05,9.72,-9.67,21
Pittsburgh Steelers,-2.265625,8.592725134,-10.85835013,19,,,,19,Pittsburgh Steelers,-2.27,8.59,-10.86,15
Carolina Panthers,-2.546875,8.485433468,-11.03230847,20,,,,20,Carolina Panthers,-2.55,8.49,-11.03,13
Denver Broncos,-2.609375,8.420850134,-11.03022513,21,,,,21,Denver Broncos,-2.61,8.42,-11.03,22
Las Vegas Raiders,-3.171875,8.422933468,-11.59480847,22,,,,22,Las Vegas Raiders,-3.17,8.42,-11.59,18
Seattle Seahawks,-3.71875,8.257829301,-11.9765793,23,,,,23,Seattle Seahawks,-3.72,8.26,-11.98,23
Washington Football Team,-5.21875,7.607829301,-12.8265793,24,,,,24,Washington Football Team,-5.22,7.61,-12.83,24
New York Giants,-6.9375,7.198454301,-14.1359543,25,,,,25,New York Giants,-6.94,7.2,-14.14,25
Atlanta Falcons,-8.6875,7.040120968,-15.72762097,26,,,,26,Atlanta Falcons,-8.69,7.04,-15.73,26
Chicago Bears,-8.8125,6.844287634,-15.65678763,27,,,,27,Chicago Bears,-8.81,6.84,-15.66,28
Miami Dolphins,-9.125,6.821370968,-15.94637097,28,,,,28,Miami Dolphins,-9.13,6.82,-15.95,27
Houston Texans,-10.890625,6.613558468,-17.50418347,29,,,,29,Houston Texans,-10.89,6.61,-17.5,32
Jacksonville Jaguars,-11.4375,6.598454301,-18.0359543,30,,,,30,Jacksonville Jaguars,-11.44,6.6,-18.04,29
New York Jets,-12.671875,6.589600134,-19.26147513,31,,,,31,New York Jets,-12.67,6.59,-19.26,30
Detroit Lions,-12.703125,6.557308468,-19.26043347,32,,,,32,Detroit Lions,-12.7,6.56,-19.26,31
