Team,Rating,O Rating,D Rating,Rank
New England Patriots,10.255035374322821,14.198352751352399,-3.9433173770295786,1.0
Buffalo Bills,9.940820184237795,15.993697874505651,-6.052877690267856,2.0
Tampa Bay Buccaneers,8.71430918145091,20.01804721644454,-11.30373803499363,3.0
Arizona Cardinals,8.678802172043419,16.956815255336952,-8.278013083293533,4.0
Dallas Cowboys,8.157120686555494,18.399429865915785,-10.242309179360289,5.0
Indianapolis Colts,5.5886819076011856,16.419568126097328,-10.830886218496142,6.0
Kansas City Chiefs,5.09298741687299,14.479285289056726,-9.386297872183736,7.0
Los Angeles Rams,4.648689527911064,16.662221144473833,-12.013531616562767,8.0
Green Bay Packers,3.6737056711342713,12.027503625163313,-8.35379795402904,9.0
San Francisco 49ers,2.80632278074672,14.494972315650276,-11.688649534903556,10.0
Tennessee Titans,2.7574049510202285,14.644666491882369,-11.88726154086214,11.0
Philadelphia Eagles,2.6656792947948524,13.672494659293143,-11.00681536449829,12.0
New Orleans Saints,2.1456345768161604,12.835832172719897,-10.690197595903737,13.0
Cincinnati Bengals,1.7099776616128772,14.301068647402015,-12.591090985789139,14.0
Los Angeles Chargers,1.397556837205891,15.218330219062768,-13.820773381856878,15.0
Baltimore Ravens,0.7193236220898428,11.468034527352517,-10.748710905262675,16.0
Minnesota Vikings,0.6708431327070585,14.491490361909586,-13.820647229202526,17.0
Seattle Seahawks,0.5277974113153475,8.224185289726078,-7.696387878410731,18.0
Denver Broncos,-0.03740156080762138,7.055919548371519,-7.093321109179141,19.0
Cleveland Browns,-1.3470466122531655,10.051485400150703,-11.39853201240387,20.0
Carolina Panthers,-2.254308887449831,7.798968080776346,-10.053276968226177,21.0
Miami Dolphins,-3.172190509787385,8.10648091482707,-11.278671424614455,22.0
Washington Football Team,-3.2136488580392726,10.03840623658435,-13.252055094623623,23.0
Las Vegas Raiders,-3.2885870396986006,11.621692791178415,-14.910279830877016,24.0
Pittsburgh Steelers,-3.6136010716865843,9.373059339150386,-12.98666041083697,25.0
New York Giants,-4.309078173763843,6.17276429433464,-10.481842468098483,26.0
Chicago Bears,-6.859769821430451,4.791368488124888,-11.65113830955534,27.0
Atlanta Falcons,-9.167221913784855,6.529112463176514,-15.696334376961369,28.0
Detroit Lions,-9.509566875258079,5.1057200115165,-14.615286886774578,29.0
Jacksonville Jaguars,-10.615588635216788,4.203838074452644,-14.819426709669433,30.0
New York Jets,-11.093936196552276,8.181325993318227,-19.275262189870503,31.0
Houston Texans,-11.668746234710145,2.7781714125172847,-14.44691764722743,32.0
