Team,Rating,O Rating,D Rating,Rank
Tampa Bay Buccaneers,12.296875000000002,18.29521169354839,-5.998336693548388,1.0
Arizona Cardinals,10.484375,16.538961693548384,-6.054586693548384,2.0
Kansas City Chiefs,9.78125,15.895732526881726,-6.114482526881727,3.0
New England Patriots,9.656249999999995,15.916565860215062,-6.2603158602150675,4.0
Dallas Cowboys,9.593749999999996,15.735315860215053,-6.141565860215057,5.0
Green Bay Packers,9.125000000000002,15.500940860215056,-6.375940860215056,6.0
Los Angeles Rams,7.718749999999996,14.13114919354839,-6.412399193548395,7.0
Buffalo Bills,6.312500000000001,13.411357526881718,-7.098857526881717,8.0
Tennessee Titans,5.812499999999999,12.611357526881722,-6.798857526881723,9.0
Los Angeles Chargers,4.796874999999996,11.89521169354839,-7.098336693548395,10.0
San Francisco 49ers,3.578125000000001,11.01917002688172,-7.441045026881721,11.0
Baltimore Ravens,3.468749999999999,11.072815860215059,-7.60406586021506,12.0
Indianapolis Colts,2.9062499999999996,10.841565860215058,-7.935315860215058,13.0
Cleveland Browns,2.2499999999999982,10.446774193548386,-8.196774193548388,14.0
Denver Broncos,1.8437499999999991,9.960315860215047,-8.116565860215049,15.0
Cincinnati Bengals,0.3124999999999988,9.16135752688172,-8.848857526881721,16.0
New Orleans Saints,0.09374999999999978,9.151982526881723,-9.058232526881723,17.0
Washington Football Team,-0.43750000000000855,8.969690860215053,-9.407190860215062,18.0
Minnesota Vikings,-1.3906250000000007,8.401461693548393,-9.792086693548393,19.0
Philadelphia Eagles,-1.4218750000000002,8.602503360215056,-10.024378360215056,20.0
Las Vegas Raiders,-3.234375,7.896253360215054,-11.130628360215054,21.0
Seattle Seahawks,-3.6874999999999996,7.761357526881719,-11.448857526881719,22.0
Pittsburgh Steelers,-4.171875000000002,7.394170026881719,-11.56604502688172,23.0
Miami Dolphins,-5.375,7.034274193548388,-12.409274193548388,24.0
Carolina Panthers,-6.812500000000001,6.748857526881719,-13.56135752688172,25.0
New York Giants,-6.984374999999999,6.67125336021505,-13.655628360215049,26.0
Atlanta Falcons,-7.093750000000002,6.758232526881715,-13.851982526881716,27.0
Chicago Bears,-9.359374999999995,6.300420026881717,-15.659795026881712,28.0
New York Jets,-11.812500000000002,6.082190860215041,-17.894690860215043,29.0
Detroit Lions,-12.031250000000002,6.0561491935483875,-18.08739919354839,30.0
Jacksonville Jaguars,-12.531249999999998,6.039482526881722,-18.57073252688172,31.0
Houston Texans,-13.6875,6.044690860215049,-19.73219086021505,32.0
