Team,Rating,Rank
Kansas City Chiefs,0.8372757284909625,1.0
Buffalo Bills,0.8013266332960763,2.0
Tampa Bay Buccaneers,0.7624914093317003,3.0
New Orleans Saints,0.6926281251149393,4.0
Green Bay Packers,0.6858474158150989,5.0
Pittsburgh Steelers,0.6629577462907498,6.0
Seattle Seahawks,0.6593102138808001,7.0
Los Angeles Rams,0.6565444009791077,8.0
Baltimore Ravens,0.6516688193457068,9.0
Cleveland Browns,0.6219187981744928,10.0
Miami Dolphins,0.621258870793326,11.0
Las Vegas Raiders,0.614764395206743,12.0
Tennessee Titans,0.5948079778642106,13.0
Indianapolis Colts,0.5455322693569955,14.0
Arizona Cardinals,0.5399062522751688,15.0
New England Patriots,0.48803860575564983,16.0
Los Angeles Chargers,0.4656082355050862,17.0
San Francisco 49ers,0.4618119398386043,18.0
Chicago Bears,0.4556363138948738,19.0
Denver Broncos,0.44212910952149853,20.0
Carolina Panthers,0.42699361713615214,21.0
Washington Football Team,0.40047379455889964,22.0
Dallas Cowboys,0.3785450807403664,23.0
Minnesota Vikings,0.37324581052043715,24.0
New York Giants,0.34027200795565465,25.0
Cincinnati Bengals,0.33555962845027637,26.0
Atlanta Falcons,0.3013927732134081,27.0
Philadelphia Eagles,0.29849699098633986,28.0
Detroit Lions,0.2902784572086719,29.0
Houston Texans,0.2781608732254844,30.0
New York Jets,0.22905408929056834,31.0
Jacksonville Jaguars,0.08606361598195417,32.0
