Team,Rating,Rank
Kansas City Chiefs,0.8040838040506436,1.0
Buffalo Bills,0.7919244543955386,2.0
Tampa Bay Buccaneers,0.749076455142105,3.0
Green Bay Packers,0.7080020379443182,4.0
New Orleans Saints,0.6686285490814552,5.0
Baltimore Ravens,0.6674341827588454,6.0
Los Angeles Rams,0.654740020269133,7.0
Cleveland Browns,0.6460594720969687,8.0
Seattle Seahawks,0.6390017557261767,9.0
Pittsburgh Steelers,0.6187472657833121,10.0
Las Vegas Raiders,0.6057589925486253,11.0
Tennessee Titans,0.5789634728526116,12.0
Miami Dolphins,0.5690519348157956,13.0
Arizona Cardinals,0.564795592072318,14.0
Indianapolis Colts,0.5466345021157029,15.0
Los Angeles Chargers,0.5285387919984849,16.0
Chicago Bears,0.45707778567788887,17.0
New England Patriots,0.45648319956404804,18.0
Denver Broncos,0.4378744119620241,19.0
San Francisco 49ers,0.43495880323123287,20.0
Dallas Cowboys,0.4297385092070047,21.0
Washington Football Team,0.42195825254705077,22.0
Carolina Panthers,0.42076734686628503,23.0
Minnesota Vikings,0.3995046431701732,24.0
Cincinnati Bengals,0.3854500007960715,25.0
New York Giants,0.3608334371128899,26.0
Atlanta Falcons,0.30823965084642885,27.0
Philadelphia Eagles,0.29044994749222874,28.0
Detroit Lions,0.2724287918621291,29.0
Houston Texans,0.261536079029493,30.0
New York Jets,0.24506607976668382,31.0
Jacksonville Jaguars,0.07619177721634138,32.0
