Team,Rating,O Rating,D Rating,Rank
Buffalo Bills,12.640625,20.30095766129032,-7.660332661290319,1.0
Tampa Bay Buccaneers,11.656250000000004,19.333770161290325,-7.67752016129032,2.0
Kansas City Chiefs,9.859375000000005,17.64366599462366,-7.784290994623653,3.0
New Orleans Saints,9.859375,17.626999327956995,-7.767624327956994,4.0
Green Bay Packers,9.062500000000005,16.870228494623653,-7.807728494623648,5.0
Baltimore Ravens,8.328124999999998,16.228040994623647,-7.899915994623649,6.0
Los Angeles Rams,7.734375,15.71449932795699,-7.98012432795699,7.0
Seattle Seahawks,5.765624999999999,14.146790994623657,-8.381165994623657,8.0
Pittsburgh Steelers,5.500000000000001,13.938978494623658,-8.438978494623656,9.0
Arizona Cardinals,5.078124999999999,13.669707661290321,-8.591582661290323,10.0
Cleveland Browns,3.046875,12.254082661290317,-9.207207661290317,11.0
Tennessee Titans,1.7968750000000002,11.412415994623654,-9.615540994623654,12.0
Las Vegas Raiders,1.7499999999999998,11.447311827956991,-9.697311827956991,13.0
Miami Dolphins,1.2968749999999996,11.112415994623658,-9.815540994623658,14.0
Indianapolis Colts,1.0781250000000004,11.05304099462365,-9.97491599462365,15.0
Los Angeles Chargers,0.3281250000000002,10.578040994623654,-10.249915994623654,16.0
Chicago Bears,-0.9687499999999997,9.937936827956989,-10.906686827956989,17.0
New England Patriots,-0.9999999999999994,9.905645161290321,-10.905645161290321,18.0
San Francisco 49ers,-1.3281249999999996,9.866582661290314,-11.194707661290314,19.0
Dallas Cowboys,-1.7499999999999996,9.58064516129032,-11.33064516129032,20.0
Washington Football Team,-3.6718750000000338,8.911374327956977,-12.583249327957011,21.0
Minnesota Vikings,-3.906249999999999,8.835853494623652,-12.742103494623652,22.0
Carolina Panthers,-3.9374999999999996,8.870228494623653,-12.807728494623653,23.0
Denver Broncos,-4.234375,8.830124327956979,-13.064499327956979,24.0
Atlanta Falcons,-6.078124999999999,8.341582661290325,-14.419707661290325,25.0
New York Giants,-6.874999999999998,8.151478494623653,-15.026478494623651,26.0
Cincinnati Bengals,-6.890625000000001,8.185332661290325,-15.075957661290325,27.0
Philadelphia Eagles,-7.218750000000001,8.129603494623648,-15.34835349462365,28.0
Detroit Lions,-10.031249999999995,7.790020161290316,-17.82127016129031,29.0
Houston Texans,-10.265624999999995,7.764499327956981,-18.030124327956976,30.0
New York Jets,-12.640624999999996,7.693665994623654,-20.33429099462365,31.0
Jacksonville Jaguars,-13.984374999999996,7.705124327956987,-21.689499327956984,32.0
