Team,Rating,O Rating,D Rating,Rank
Arizona Cardinals,12.578125,19.114600134408597,-6.536475134408598,1.0
Dallas Cowboys,11.640625,18.162516801075263,-6.521891801075264,2.0
Tampa Bay Buccaneers,9.296875000000002,15.990641801075274,-6.693766801075272,3.0
Tennessee Titans,8.343750000000002,15.172412634408605,-6.828662634408603,4.0
Green Bay Packers,8.343749999999998,15.272412634408603,-6.928662634408604,5.0
Kansas City Chiefs,7.749999999999999,14.642204301075267,-6.892204301075269,6.0
New England Patriots,7.343749999999999,14.472412634408606,-7.128662634408606,7.0
Los Angeles Rams,6.359374999999998,13.471891801075271,-7.112516801075273,8.0
Buffalo Bills,5.109374999999998,12.963558467741937,-7.854183467741938,9.0
Baltimore Ravens,4.749999999999999,12.658870967741947,-7.908870967741948,10.0
Los Angeles Chargers,4.265624999999998,12.125016801075267,-7.859391801075269,11.0
Minnesota Vikings,4.124999999999997,11.846370967741942,-7.721370967741945,12.0
Indianapolis Colts,2.953125000000001,11.218766801075272,-8.26564180107527,13.0
New Orleans Saints,2.3437500000000004,10.872412634408608,-8.528662634408608,14.0
Cincinnati Bengals,2.250000000000001,10.742204301075265,-8.492204301075265,15.0
Cleveland Browns,1.8281250000000004,10.672933467741931,-8.844808467741931,16.0
San Francisco 49ers,1.4687500000000004,10.318245967741934,-8.849495967741934,17.0
Philadelphia Eagles,0.04687500000000048,9.715641801075266,-9.668766801075266,18.0
Pittsburgh Steelers,-2.2656249999999996,8.592725134408601,-10.858350134408601,19.0
Carolina Panthers,-2.5468750000000013,8.485433467741933,-11.032308467741935,20.0
Denver Broncos,-2.609375,8.420850134408601,-11.030225134408601,21.0
Las Vegas Raiders,-3.171874999999999,8.422933467741942,-11.59480846774194,22.0
Seattle Seahawks,-3.7187499999999987,8.257829301075269,-11.976579301075267,23.0
Washington Football Team,-5.218750000000006,7.607829301075268,-12.826579301075274,24.0
New York Giants,-6.937499999999999,7.19845430107527,-14.13595430107527,25.0
Atlanta Falcons,-8.687500000000002,7.040120967741931,-15.727620967741933,26.0
Chicago Bears,-8.812499999999998,6.8442876344086,-15.656787634408598,27.0
Miami Dolphins,-9.125,6.821370967741931,-15.946370967741931,28.0
Houston Texans,-10.890624999999998,6.613558467741941,-17.50418346774194,29.0
Jacksonville Jaguars,-11.437500000000002,6.59845430107527,-18.03595430107527,30.0
New York Jets,-12.671875,6.589600134408599,-19.2614751344086,31.0
Detroit Lions,-12.703124999999998,6.557308467741935,-19.260433467741933,32.0
