,Team,Rating Week 0,Rating Week 1,Rank Week 1,Rating Week 2,Rank Week 2,Rating Week 3,Rank Week 3,Rating Week 4,Rank Week 4,Rating Week 5,Rank Week 5,Rating Week 6,Rank Week 6,Rating Week 7,Rank Week 7,Rating Week 8,Rank Week 8,Rating Week 9,Rank Week 9
0,UCLA,10,1433.4698560000002,1,1456.900034,1,1194.3729039999998,28,973.5509013000001,62,1088.0370369999998,40,943.7605623,61,1096.992516,39,1167.224811,34,1110.1692028877367,40.0
1,Fresno State,0,1427.507707,2,428.238424,94,1114.533408,38,1213.580336,20,1224.050051,19,1147.802024,33,1111.767168,37,1247.18237,22,1291.3877843177388,17.0
2,Texas-El Paso,0,1424.502856,3,1416.6746050000002,2,786.367215,71,724.5954397,83,896.1888415,59,996.5587572000001,57,1074.9691970000001,42,1238.86428,24,1198.6430867637675,31.0
3,Illinois,10,1424.315818,4,762.6450258,80,-125.9685415,144,-1099.4103890000001,185,-1773.784275,209,-488.1522232,154,-1593.524265,204,-1419.11404,202,-753.5837706082273,173.0
4,San Jose State,0,1411.782032,5,-356.38614889999997,160,-27.52171968,142,713.0954203,84,-96.80147431,126,39.29111656,117,-531.0762625,157,-1171.402722,196,-388.61964574055315,148.0
5,Virginia,10,1382.6996390000002,6,1300.266212,6,1315.697466,6,1064.3329800000001,40,820.6151378999999,69,1044.501364,50,1124.7991849999999,36,1258.8581800000002,20,1275.593292424919,20.0
6,Texas Tech,10,1374.092841,7,1160.6893189999998,25,1086.107907,42,1188.804954,22,986.9050914999999,51,1098.8874130000002,40,959.3788511,56,1112.564048,43,1048.4117760766924,48.0
7,Texas Christian,10,1366.372874,8,1170.729113,22,1201.058725,26,1127.828497,31,966.9459843000001,54,813.0098214999999,72,1064.521603,44,894.8512663999999,59,630.9846946543624,86.0
8,Texas A&M,10,1358.377457,9,1122.2222279999999,31,1255.221489,17,1418.301684,2,1220.396125,23,1039.843474,51,1168.218742,32,1235.471876,25,1315.7021150358057,15.0
9,Rutgers,10,1353.399314,10,1163.75805,24,1383.377929,2,1377.308498,5,1211.000681,25,985.8927126,59,765.3709401000001,78,511.60571280000005,97,474.46468861391446,101.0
