,Team,Conference,Week,Elo
0,UCLA,PAC,0,10.0
1,Southern California,PAC,0,10.0
2,Oregon,PAC,0,10.0
3,Oregon State,PAC,0,10.0
4,Arizona,PAC,0,10.0
5,Washington,PAC,0,10.0
6,California,PAC,0,10.0
7,Washington State,PAC,0,10.0
8,Stanford,PAC,0,10.0
9,Colorado,PAC,0,10.0
10,Arizona State,PAC,0,10.0
11,Utah,PAC,0,10.0
12,Illinois,BIG10,0,10.0
13,Rutgers,BIG10,0,10.0
14,Michigan,BIG10,0,10.0
15,Purdue,BIG10,0,10.0
16,Penn State,BIG10,0,10.0
17,Wisconsin,BIG10,0,10.0
18,Northwestern,BIG10,0,10.0
19,Minnesota,BIG10,0,10.0
20,Indiana,BIG10,0,10.0
21,Maryland,BIG10,0,10.0
22,Michigan State,BIG10,0,10.0
23,Ohio State,BIG10,0,10.0
24,Iowa,BIG10,0,10.0
25,Nebraska,BIG10,0,10.0
26,Texas A&M,SEC,0,10.0
27,South Carolina,SEC,0,10.0
28,Mississippi State,SEC,0,10.0
29,Mississippi,SEC,0,10.0
30,Missouri,SEC,0,10.0
31,Louisiana State,SEC,0,10.0
32,Kentucky,SEC,0,10.0
33,Vanderbilt,SEC,0,10.0
34,Alabama,SEC,0,10.0
35,Arkansas,SEC,0,10.0
36,Auburn,SEC,0,10.0
37,Georgia,SEC,0,10.0
38,Florida,SEC,0,10.0
39,Tennessee,SEC,0,10.0
40,Texas Tech,BIG12,0,10.0
41,Texas Christian,BIG12,0,10.0
42,Texas,BIG12,0,10.0
43,Oklahoma State,BIG12,0,10.0
44,Oklahoma,BIG12,0,10.0
45,West Virginia,BIG12,0,10.0
46,Kansas State,BIG12,0,10.0
47,Baylor,BIG12,0,10.0
48,Kansas,BIG12,0,10.0
49,Iowa State,BIG12,0,10.0
50,Virginia,ACC,0,10.0
51,Syracuse,ACC,0,10.0
52,Pittsburgh,ACC,0,10.0
53,Georgia Tech,ACC,0,10.0
54,Duke,ACC,0,10.0
55,Florida State,ACC,0,10.0
56,Clemson,ACC,0,10.0
57,North Carolina,ACC,0,10.0
58,Miami (FL),ACC,0,10.0
59,Louisville,ACC,0,10.0
60,Boston College,ACC,0,10.0
61,Virginia Tech,ACC,0,10.0
62,Wake Forest,ACC,0,10.0
63,North Carolina State,ACC,0,10.0
64,Notre Dame,Independents,0,10.0
65,Brigham Young,Independents,0,10.0
66,Houston,Other,0,10.0
67,Cincinnati,Other,0,10.0
68,Central Florida,Other,0,10.0
69,UCLA,PAC,1,1433.4698560000006
70,Southern California,PAC,1,1335.24705
71,Oregon,PAC,1,1283.315632
72,Oregon State,PAC,1,1226.738546
73,Arizona,PAC,1,1219.110143
74,Washington,PAC,1,1203.873833
75,California,PAC,1,1196.261201
76,Washington State,PAC,1,1173.404908
77,Stanford,PAC,1,1165.772163
78,Colorado,PAC,1,978.2880762
79,Arizona State,PAC,1,962.355882
80,Utah,PAC,1,928.1387399
81,Illinois,BIG10,1,1424.315818
82,Rutgers,BIG10,1,1353.399314
83,Michigan,BIG10,1,1349.453348
84,Purdue,BIG10,1,1316.580968
85,Penn State,BIG10,1,1290.871358
86,Wisconsin,BIG10,1,1188.6411050000004
87,Northwestern,BIG10,1,1158.146893
88,Minnesota,BIG10,1,1135.203017
89,Indiana,BIG10,1,1104.464805
90,Maryland,BIG10,1,1081.281523
91,Michigan State,BIG10,1,1016.384292
92,Ohio State,BIG10,1,911.3409049
93,Iowa,BIG10,1,904.2813346
94,Nebraska,BIG10,1,-2523.584224
95,Texas A&M,SEC,1,1358.377457
96,South Carolina,SEC,1,1327.772724
97,Mississippi State,SEC,1,1308.303582
98,Mississippi,SEC,1,1298.5924
99,Missouri,SEC,1,1260.480687
100,Louisiana State,SEC,1,1112.167285
101,Kentucky,SEC,1,1089.044795
102,Vanderbilt,SEC,1,1073.527809
103,Alabama,SEC,1,1019.729438
104,Arkansas,SEC,1,1019.163078
105,Auburn,SEC,1,1012.933974
106,Georgia,SEC,1,978.8216457999997
107,Florida,SEC,1,928.4680698
108,Tennessee,SEC,1,919.4270146
109,Texas Tech,BIG12,1,1374.092841
110,Texas Christian,BIG12,1,1366.372874
111,Texas,BIG12,1,1350.559167
